Customer_ID,Address_ID,Contact_ID,First_Name,Last_Name,DOB,Passport_No,Gender,Addr_Line_1,Addr_Line_2,City,State,Zip_Code,Country,Email,Phone_Number
PRT-C-5500,PRT-A-5500,PRT-T-5500,John,Doe,1980-05-15,P/123/4567,M,123 Maple St,,New York,NY,10001,US,john.doe@email.com,2125551234
PRT-C-5501,PRT-A-5501,PRT-T-5501,Alice,Smith,1990-08-22,A/987/6543,F,456 Oak Ave,,Los Angeles,CA,90001,US,,2135559876
PRT-C-5502,PRT-A-5502,PRT-T-5502,Robert,Johnson,1975-11-30,R/555/6667,M,789 Pine Rd,,Chicago,IL,60601,US,,3125554321
PRT-C-5503,PRT-A-5503,PRT-T-5503,Emily,Davis,1988-03-14,E/112/2334,F,321 Cedar Ln,,Houston,TX,77001,US,edavis88@email.com,7135558765
PRT-C-5504,PRT-A-5504,PRT-T-5504,Michael,Brown,1992-07-09,M/998/8776,M,654 Birch Blvd,,Phoenix,AZ,85001,US,,6025553456
PRT-C-5505,PRT-A-5505,PRT-T-5505,Sarah,Wilson,1985-12-01,S/445/5667,F,987 Walnut St,,Philadelphia,PA,19101,US,,2155556543
PRT-C-5506,PRT-A-5506,PRT-T-5506,David,Martinez,1978-09-18,D/776/6554,M,147 Cherry Ct,,San Antonio,TX,78201,US,dmartinez@email.com,2105557890
PRT-C-5507,PRT-A-5507,PRT-T-5507,Jennifer,Anderson,1995-04-25,J/334/4556,F,258 Elm St,,San Diego,CA,92101,US,,6195550987
PRT-C-5508,PRT-A-5508,PRT-T-5508,Elizabeth,White,1980-09-06,W/013/0864,F,888 Ash Dr,,Denver,CO,80201,US,,3035555566
PRT-C-5509,PRT-A-5509,PRT-T-5509,Richard,White,1963-10-17,W/246/3548,M,999 Fir Blvd,,Boston,MA,02101,US,rwhite@email.com,6175557788
PRT-C-5510,PRT-A-5510,PRT-T-5510,Patricia,Garcia,1999-10-06,G/602/8965,F,111 Redwood Ln,,Detroit,MI,48201,US,,3135559900
PRT-C-5511,PRT-A-5511,PRT-T-5511,Joseph,Jackson,1978-05-07,J/103/5605,M,222 Palm Ct,,Miami,FL,33101,US,,3055552233
PRT-C-5512,PRT-A-5512,PRT-T-5512,Jessica,Thompson,1960-01-28,T/603/5566,F,333 Cypress St,,Dallas,TX,75201,US,jthompson@email.com,2145554455
PRT-C-5513,PRT-A-5513,PRT-T-5513,Bill,Jackson,1982-02-14,P77013,M,555 Cedar St,,Atlanta,GA,30301,US,,4045551122
PRT-C-5514,PRT-A-5514,PRT-T-5514,Kristopher,Harris,1991-06-19,P77014,M,777 Spruce Way,,Seattle,WA,98101,US,,2065553344
PRT-C-5515,PRT-A-5515,PRT-T-5515,Maggie,Martin,1984-01-22,P77015,F,444 Poplar Ave,,San Francisco,CA,94101,US,mmartin@email.com,4155556677
PRT-C-5516,PRT-A-5516,PRT-T-5516,Reject,User,1990-01-01,R999999,M,123 Bad St,,City,NY,10001,US,test@domain.com,(800) BAD
PRT-C-5517,PRT-A-5517,PRT-T-5517,Reject,User,1990-01-01,R999999,M,123 Bad St,,City,NY,10001,US,test@domain.com,2125551234
PRT-C-5518,PRT-A-5518,PRT-T-5518,Reject,User,1990-01-01,R999999,M,123 Bad St,,City,NY,10001,US,@domain.com,2125551234
PRT-C-5519,PRT-A-5519,PRT-T-5519,Reject,User,1990-01-01,R999999,M,123 Bad St,,City,NY,10001,US,test@domain.com,2125551234
